total_in_degree,total_out_degree,total_unique_in,total_unique_out,avg_in_transaction,avg_out_transaction,total_received,total_sent,net_balance,avg_in_time_interval,avg_out_time_interval,avg_active_duration,in_out_ratio,unique_in_ratio,unique_out_ratio,volume_ratio,net_balance_ratio,activity_index,time_interval_ratio,weighted_avg_tx,wallet_lifetime_sec,class
32,1,20,1,1.7309972361538466,0.0862651946153846,51.563350500000006,0.95018471,50.61316579,0.0,0.0,0.0,31.999999680000005,0.6249999998046875,0.9999999900000002,54.26665932914603,0.981572479084428,3300000000.0,0.0,1.6811568707493003,48948.0,licit
42,2,42,2,0.0102324825,0.00033274125,0.0909785999999999,0.00213393,0.08884467,0.0,0.0,0.0,20.999999895,0.9999999997619048,0.999999995,42.63409467932557,0.9765445965815482,4400000000.0,0.0,0.0097824942591403,613204.0,licit
62,2,62,2,0.07403265,0.0362484575,8.409666020000001,0.27772566,8.131940360000002,0.0,0.0,0.0,30.999999845,0.9999999998387096,0.999999995,30.280477926293237,0.9669754222094832,6400000000.0,0.0,0.0728518939729919,5983.0,licit
5308,199,5039,139,6.71769328731746,0.1318028566217912,25964.16931311,264.30035743999997,25699.86895567,0.1159073379825859,0.038363288674333,0.7198221147335636,26.67336683283048,0.9493217784458378,0.6984924622764577,98.23735981144812,0.989820573334636,7650.501159627973,0.3309823694706289,6.4797066892108255,9100499.0,licit
1497,14,1491,12,0.0950170051282051,0.2315384769230769,1977.9229462,20.9545014,1956.9684448,0.0,0.0,0.0,106.92857135219388,0.9959919839612826,0.8571428565306122,94.3913151403396,0.989405804988434,151100000000.0,0.0,0.0962819294195124,7024.0,licit
126,3,126,3,3.0375978950000007,0.0412047944444444,716.8399438700001,0.0,716.8399438700001,0.0,0.0,0.0,41.99999986,0.9999999999206348,0.9999999966666668,71683994387.0,0.9999999999860498,12900000000.0,0.0,2.9679143342918937,5413.0,licit
131,24,131,24,0.09856318275,0.0040330525260416,23.67697455,2.54877557,21.128198980000004,0.8088782542688793,0.0,7.785453197337963,5.458333331059028,0.999999999923664,0.9999999995833332,9.28954857218147,0.8923521426463873,19.908924486747804,0.0,0.0839262593550692,21527948.0,licit
7,2,7,2,0.29473659,0.1075033466666666,1.93506024,0.40583039,1.52922985,0.0,0.0,0.0,3.4999999825000003,0.9999999985714286,0.999999995,4.768150044944884,0.7902750573270264,900000000.0,0.0,0.2531292023113379,5714.0,licit
11373,278,11037,185,14.544758704275338,0.3006437882819536,205769.35324294,1262.12373042,204507.22951252,0.0881315792157602,0.0294705894510582,0.5154909251065224,40.910071940974454,0.9704563439717132,0.6654676258753429,163.03421628308604,0.9938663182318516,22601.755349184572,0.3343930333414217,14.204885393247253,1912323.0,licit
615,4,610,3,0.1805195141823899,0.1119212670754716,743.9618424,11.44627039,732.5155720099999,0.001253414649641,0.0,0.0137875611460517,153.749999615625,0.991869918683059,0.7499999981250001,64.99600449767463,0.9846144388764336,44895.507224799374,0.0,0.1800762298686122,71782.0,licit
28866,17654,21626,10414,0.3522792592808488,0.0031982945520675,10200.329102370002,6125.1878196200005,4075.1412827500026,13.467524984332051,0.0135914746234713,16.276941767652016,1.6350968619000594,0.7491858934383879,0.589894641440699,1.665308787704434,0.3995107649810206,2858.030742843304,0.0010092035937703,0.2198055844888432,30996382.0,licit
50581,4767,45809,3038,0.0006875778137658,9.74066375435761e-05,20.87802661,0.0360781499999998,20.84194846,0.6755447400482878,0.003100502762467,1.9276363179252387,10.61065659741848,0.905656274094837,0.6372980910412476,578.688785958044,0.9982719554555296,28712.88489337218,0.0045896334213913,0.0006367476844557,5438530.0,licit
105364,696,2696,32,0.3502713842542569,1.4444786280178614,304282.60653642006,167397.89436803,136884.71216839005,4.673736362076369,2.477018139582751e-05,123.6948690653678,151.3850574690893,0.0255874871872721,0.0459770114935922,1.817720633136676,0.4498604561283117,857.4324933023471,5.2998670493738245e-06,0.3574519258501073,159318899.0,licit
8617,126,8512,107,0.2220900800954396,0.0001986256541615,1257.2119493299997,0.8001995499999999,1256.4117497799998,0.061120312488944,0.0046148297760405,0.5806767971846386,68.3888888834612,0.9878147847267172,0.8492063491389519,1571.1230200251546,0.9993635126038852,15056.56828690934,0.0755040154913334,0.2188922849150907,19095397.0,licit
1282,6,1282,6,0.1737716444444444,0.20875,3127.4704792,15.0147,3112.4557792,0.0,0.0,0.0,213.66666631055557,0.9999999999921998,0.9999999983333332,208.29390378209757,0.9951990913711862,128800000000.0,0.0,0.1739345870931975,7234.0,licit
18417,25,17284,4,0.082247462214299,6.128482008379887e-05,2197.7287763500003,17.96309511,2179.76568124,12.707062381008049,1.209120417395557e-05,3.458962352737689,736.679999705328,0.9384807514791016,0.159999999936,122.34688741936584,0.991826518670902,5331.656741533198,9.51534178545603e-07,0.0821360505216585,77831516.0,licit
1297,48,1141,43,4.986975864079054,3.176465675477764,19569.69062022999,3934.35986544,15635.330754789997,0.6591941515391488,2.9671772397397396,9.133680305305305,27.020833327703993,0.8797224363848904,0.8958333331467013,4.9740469325348995,0.7989564606922872,147.25717931535044,4.501218931933034,4.9223628610291765,101807635.0,licit
245762,5155,18072,4924,0.1783649764802368,0.2641268749448818,97207.55352557,48700.390794859995,48507.162730709984,1.7013148679834869,0.0075800563171397,27.0663331028427,47.67449078555252,0.0735345578242334,0.955189136758574,1.9960323097819916,0.4990061057132295,9270.446755897732,0.0044554105857959,0.1801269240030568,4293904.0,licit
28712,1164,15914,423,0.2514436730791048,0.0008660374188947,7927.73171751,172.02070310000002,7755.71101441,8.791125860989093,0.0001357318806101,41.67811114045542,24.666666666454756,0.5542630259123174,0.3634020618525481,46.08591625416475,0.9783013970150074,716.8271108100239,1.5439647048860867e-05,0.2416809080533015,21209252.0,licit
273378,38098,27861,16889,0.0495931866440316,1.6536308765586312,714017.38795229,614550.84415416,99466.54379812992,1.7923497639270018,0.0001418146857871,30.955762283252913,7.175652265208889,0.1019138335930432,0.4433041104518759,1.1618524240008483,0.1393054923821754,10061.971566046332,7.912221590343675e-05,0.2457900939831651,5339067.0,licit
26,10,20,4,0.0528956975,0.02644784875,1.63471131,0.1816345899999999,1.45307672,0.0,0.0,0.0,2.5999999974,0.7692307689349113,0.3999999996,8.999999504499694,0.8888888834512996,3600000000.0,0.0,0.0455490728345697,4862.0,licit
